"","user","date_time","date","hour","day","price"
"230","bitcoinprice",2017-05-20 05:00:04,2017-05-20,5,"Sat",1980.03
"231","bitcoinprice",2017-05-20 04:00:04,2017-05-20,4,"Sat",1981.99
"232","bitcoinprice",2017-05-20 03:00:04,2017-05-20,3,"Sat",1981.32
"233","bitcoinprice",2017-05-20 02:00:03,2017-05-20,2,"Sat",1979.08
"234","bitcoinprice",2017-05-20 01:00:03,2017-05-20,1,"Sat",1972.64
"235","bitcoinprice",2017-05-20 00:00:04,2017-05-20,0,"Sat",1962.34
"236","bitcoinprice",2017-05-19 23:00:04,2017-05-19,23,"Fri",1956.56
"237","bitcoinprice",2017-05-19 22:00:04,2017-05-19,22,"Fri",1957.73
"238","bitcoinprice",2017-05-19 21:00:03,2017-05-19,21,"Fri",1938.44
"239","bitcoinprice",2017-05-19 20:00:04,2017-05-19,20,"Fri",1931.81
"240","bitcoinprice",2017-05-19 19:00:05,2017-05-19,19,"Fri",1919.56
"241","bitcoinprice",2017-05-19 18:00:04,2017-05-19,18,"Fri",1926.73
"242","bitcoinprice",2017-05-19 16:00:04,2017-05-19,16,"Fri",1945.61
"243","bitcoinprice",2017-05-19 15:00:03,2017-05-19,15,"Fri",1952.38
"244","bitcoinprice",2017-05-19 14:00:04,2017-05-19,14,"Fri",1946.27
"245","bitcoinprice",2017-05-19 13:00:03,2017-05-19,13,"Fri",1935.5
"246","bitcoinprice",2017-05-19 12:00:04,2017-05-19,12,"Fri",1926.71
"247","bitcoinprice",2017-05-19 11:00:04,2017-05-19,11,"Fri",1938.13
"248","bitcoinprice",2017-05-19 10:00:03,2017-05-19,10,"Fri",1931.15
"249","bitcoinprice",2017-05-19 09:00:04,2017-05-19,9,"Fri",1916.15
"250","bitcoinprice",2017-05-19 08:00:03,2017-05-19,8,"Fri",1914.99
"251","bitcoinprice",2017-05-19 07:00:04,2017-05-19,7,"Fri",1912.77
"252","bitcoinprice",2017-05-19 06:00:03,2017-05-19,6,"Fri",1915.66
"253","bitcoinprice",2017-05-19 04:00:03,2017-05-19,4,"Fri",1897.37
"254","bitcoinprice",2017-05-19 03:00:03,2017-05-19,3,"Fri",1883.71
"255","bitcoinprice",2017-05-19 02:00:05,2017-05-19,2,"Fri",1891.8
"256","bitcoinprice",2017-05-19 01:00:03,2017-05-19,1,"Fri",1903.54
"257","bitcoinprice",2017-05-19 00:00:04,2017-05-19,0,"Fri",1894.41
"258","bitcoinprice",2017-05-18 23:00:04,2017-05-18,23,"Thu",1886.24
"259","bitcoinprice",2017-05-18 22:00:03,2017-05-18,22,"Thu",1874.26
"260","bitcoinprice",2017-05-18 21:00:03,2017-05-18,21,"Thu",1871.12
"261","bitcoinprice",2017-05-18 20:00:04,2017-05-18,20,"Thu",1863.98
"262","bitcoinprice",2017-05-18 19:00:03,2017-05-18,19,"Thu",1862.05
"263","bitcoinprice",2017-05-18 18:00:03,2017-05-18,18,"Thu",1873.72
"264","bitcoinprice",2017-05-18 17:00:03,2017-05-18,17,"Thu",1869.65
"265","bitcoinprice",2017-05-18 16:00:04,2017-05-18,16,"Thu",1866.47
"266","bitcoinprice",2017-05-18 15:00:04,2017-05-18,15,"Thu",1856.09
"267","bitcoinprice",2017-05-18 14:00:03,2017-05-18,14,"Thu",1840.59
"268","bitcoinprice",2017-05-18 13:00:04,2017-05-18,13,"Thu",1824.86
"269","bitcoinprice",2017-05-18 12:00:03,2017-05-18,12,"Thu",1819.02
"270","bitcoinprice",2017-05-18 11:00:04,2017-05-18,11,"Thu",1824.93
"271","bitcoinprice",2017-05-18 10:00:03,2017-05-18,10,"Thu",1821.83
"272","bitcoinprice",2017-05-18 09:00:04,2017-05-18,9,"Thu",1829.39
"273","bitcoinprice",2017-05-18 08:00:03,2017-05-18,8,"Thu",1839.96
"274","bitcoinprice",2017-05-18 07:00:04,2017-05-18,7,"Thu",1837.4
"275","bitcoinprice",2017-05-18 06:00:03,2017-05-18,6,"Thu",1820.76
"276","bitcoinprice",2017-05-18 05:00:10,2017-05-18,5,"Thu",1829.13
"277","bitcoinprice",2017-05-18 04:00:03,2017-05-18,4,"Thu",1807.13
"278","bitcoinprice",2017-05-18 03:00:04,2017-05-18,3,"Thu",1814.54
"279","bitcoinprice",2017-05-18 02:00:03,2017-05-18,2,"Thu",1828.31
"280","bitcoinprice",2017-05-18 01:00:04,2017-05-18,1,"Thu",1818.04
"281","bitcoinprice",2017-05-18 00:00:03,2017-05-18,0,"Thu",1818.15
"282","bitcoinprice",2017-05-17 23:00:05,2017-05-17,23,"Wed",1815.07
"283","bitcoinprice",2017-05-17 22:00:03,2017-05-17,22,"Wed",1808.87
"284","bitcoinprice",2017-05-17 21:00:03,2017-05-17,21,"Wed",1813.66
"285","bitcoinprice",2017-05-17 20:00:06,2017-05-17,20,"Wed",1826.22
"286","bitcoinprice",2017-05-17 19:00:06,2017-05-17,19,"Wed",1837.44
"287","bitcoinprice",2017-05-17 18:00:06,2017-05-17,18,"Wed",1824.95
"288","bitcoinprice",2017-05-17 17:00:08,2017-05-17,17,"Wed",1841.07
"289","bitcoinprice",2017-05-17 16:00:04,2017-05-17,16,"Wed",1850.72
"290","bitcoinprice",2017-05-17 15:00:04,2017-05-17,15,"Wed",1849.86
"291","bitcoinprice",2017-05-17 14:00:04,2017-05-17,14,"Wed",1838.95
"292","bitcoinprice",2017-05-17 13:00:03,2017-05-17,13,"Wed",1836.39
"293","bitcoinprice",2017-05-17 12:00:04,2017-05-17,12,"Wed",1824.39
"294","bitcoinprice",2017-05-17 11:00:03,2017-05-17,11,"Wed",1831.88
"295","bitcoinprice",2017-05-17 10:00:04,2017-05-17,10,"Wed",1829.63
"296","bitcoinprice",2017-05-17 09:00:05,2017-05-17,9,"Wed",1807.49
"297","bitcoinprice",2017-05-17 08:00:03,2017-05-17,8,"Wed",1810.03
"298","bitcoinprice",2017-05-17 07:00:04,2017-05-17,7,"Wed",1815.74
"299","bitcoinprice",2017-05-17 06:00:02,2017-05-17,6,"Wed",1810.92
"300","bitcoinprice",2017-05-17 05:00:03,2017-05-17,5,"Wed",1816.71
"301","bitcoinprice",2017-05-17 04:00:03,2017-05-17,4,"Wed",1773.96
"302","bitcoinprice",2017-05-17 03:00:03,2017-05-17,3,"Wed",1765.07
"303","bitcoinprice",2017-05-17 02:00:04,2017-05-17,2,"Wed",1746.78
"304","bitcoinprice",2017-05-17 01:00:03,2017-05-17,1,"Wed",1756.82
"305","bitcoinprice",2017-05-17 00:00:03,2017-05-17,0,"Wed",1755.72
"306","bitcoinprice",2017-05-16 23:00:04,2017-05-16,23,"Tue",1755.15
"307","bitcoinprice",2017-05-16 22:00:03,2017-05-16,22,"Tue",1751.83
"308","bitcoinprice",2017-05-16 21:00:03,2017-05-16,21,"Tue",1760.94
"309","bitcoinprice",2017-05-16 20:00:03,2017-05-16,20,"Tue",1764.51
"310","bitcoinprice",2017-05-16 19:00:03,2017-05-16,19,"Tue",1762.38
"311","bitcoinprice",2017-05-16 18:00:03,2017-05-16,18,"Tue",1762.4
"312","bitcoinprice",2017-05-16 17:00:05,2017-05-16,17,"Tue",1761.39
"313","bitcoinprice",2017-05-16 16:00:03,2017-05-16,16,"Tue",1759.95
"314","bitcoinprice",2017-05-16 15:00:04,2017-05-16,15,"Tue",1748.53
"315","bitcoinprice",2017-05-16 14:00:06,2017-05-16,14,"Tue",1743.71
"316","bitcoinprice",2017-05-16 13:00:03,2017-05-16,13,"Tue",1734.91
"317","bitcoinprice",2017-05-16 12:00:03,2017-05-16,12,"Tue",1740.28
"318","bitcoinprice",2017-05-16 11:00:03,2017-05-16,11,"Tue",1736.21
"319","bitcoinprice",2017-05-16 10:00:04,2017-05-16,10,"Tue",1722.42
"320","bitcoinprice",2017-05-16 09:00:03,2017-05-16,9,"Tue",1719.71
"321","bitcoinprice",2017-05-16 08:00:04,2017-05-16,8,"Tue",1715.87
"322","bitcoinprice",2017-05-16 07:00:03,2017-05-16,7,"Tue",1710.9
"323","bitcoinprice",2017-05-16 06:00:03,2017-05-16,6,"Tue",1710.68
